Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
TE,Cade Otton (28793287),Cade Otton,28793287,TE/FLEX,3300,TB@MIN 09/10/2023 01:00PM ET,TB,6.2
WR,Jauan Jennings (28792753),Jauan Jennings,28792753,WR/FLEX,3300,SF@PIT 09/10/2023 01:00PM ET,SF,4.5
WR,DeAndre Carter (28792751),DeAndre Carter,28792751,WR/FLEX,3300,LV@DEN 09/10/2023 04:25PM ET,LV,2.5
WR,Robbie Chosen (28792749),Robbie Chosen,28792749,WR/FLEX,3300,MIA@LAC 09/10/2023 04:25PM ET,MIA,0
WR,Kendrick Bourne (28792747),Kendrick Bourne,28792747,WR/FLEX,3300,PHI@NE 09/10/2023 04:25PM ET,NE,5.5
DST,Seahawks  (28793582),Seahawks,28793582,DST,3300,LAR@SEA 09/10/2023 04:25PM ET,SEA,5.9
WR,Jonathan Mingo (28792765),Jonathan Mingo,28792765,WR/FLEX,3200,CAR@ATL 09/10/2023 01:00PM ET,CAR,6.4
DST,Falcons  (28793583),Falcons,28793583,DST,3200,CAR@ATL 09/10/2023 01:00PM ET,ATL,6.3
WR,Cedric Tillman (28792763),Cedric Tillman,28792763,WR/FLEX,3200,CIN@CLE 09/10/2023 01:00PM ET,CLE,5.4
WR,Isaiah McKenzie (28792761),Isaiah McKenzie,28792761,WR/FLEX,3200,JAX@IND 09/10/2023 01:00PM ET,IND,4.3
TE,Jelani Woods (28793291),Jelani Woods,28793291,TE/FLEX,3200,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Tre'Quan Smith (28792757),Tre'Quan Smith,28792757,WR/FLEX,3200,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Nick Westbrook-Ikhine (28792759),Nick Westbrook-Ikhine,28792759,WR/FLEX,3200,TEN@NO 09/10/2023 01:00PM ET,TEN,4.6
TE,Logan Thomas (28793289),Logan Thomas,28793289,TE/FLEX,3200,ARI@WAS 09/10/2023 01:00PM ET,WAS,6.3
TE,Mike Gesicki (28793293),Mike Gesicki,28793293,TE/FLEX,3200,PHI@NE 09/10/2023 04:25PM ET,NE,5.7
WR,Ben Skowronek (28792755),Ben Skowronek,28792755,WR/FLEX,3200,LAR@SEA 09/10/2023 04:25PM ET,LAR,5.1
WR,Marquez Callaway (28792769),Marquez Callaway,28792769,WR/FLEX,3100,LV@DEN 09/10/2023 04:25PM ET,LV,0
WR,Laviska Shenault Jr. (28792775),Laviska Shenault Jr.,28792775,WR/FLEX,3100,CAR@ATL 09/10/2023 01:00PM ET,CAR,2.6
WR,Scotty Miller (28792777),Scotty Miller,28792777,WR/FLEX,3100,CAR@ATL 09/10/2023 01:00PM ET,ATL,3.9
WR,Devin Duvernay (28792773),Devin Duvernay,28792773,WR/FLEX,3100,HOU@BAL 09/10/2023 01:00PM ET,BAL,0.9
WR,Josh Downs (28792771),Josh Downs,28792771,WR/FLEX,3100,JAX@IND 09/10/2023 01:00PM ET,IND,5.9
TE,Trey McBride (28793299),Trey McBride,28793299,TE/FLEX,3100,ARI@WAS 09/10/2023 01:00PM ET,ARI,4.7
TE,Robert Tonyan (28793297),Robert Tonyan,28793297,TE/FLEX,3100,GB@CHI 09/10/2023 04:25PM ET,CHI,3.1
WR,KJ Hamler (28792767),KJ Hamler,28792767,WR/FLEX,3100,LV@DEN 09/10/2023 04:25PM ET,DEN,0
DST,Chargers  (28793584),Chargers,28793584,DST,3100,MIA@LAC 09/10/2023 04:25PM ET,LAC,5.1
TE,Noah Fant (28793295),Noah Fant,28793295,TE/FLEX,3100,LAR@SEA 09/10/2023 04:25PM ET,SEA,6.4
WR,Lance McCutcheon (28792809),Lance McCutcheon,28792809,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Raleigh Webb (28792847),Raleigh Webb,28792847,WR/FLEX,3000,MIA@LAC 09/10/2023 04:25PM ET,MIA,0
WR,Freddie Swain (28792879),Freddie Swain,28792879,WR/FLEX,3000,PHI@NE 09/10/2023 04:25PM ET,PHI,0
WR,Phillip Dorsett II (28792891),Phillip Dorsett II,28792891,WR/FLEX,3000,LV@DEN 09/10/2023 04:25PM ET,DEN,0
WR,Thyrick Pitts (28792951),Thyrick Pitts,28792951,WR/FLEX,3000,PHI@NE 09/10/2023 04:25PM ET,NE,0
WR,James Washington (28793027),James Washington,28793027,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Racey McMath (28793047),Racey McMath,28793047,WR/FLEX,3000,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Jacob Copeland (28793055),Jacob Copeland,28793055,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,Jalen Reagor (28793079),Jalen Reagor,28793079,WR/FLEX,3000,PHI@NE 09/10/2023 04:25PM ET,NE,0
