Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
WR,Danny Gray (28792993),Danny Gray,28792993,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0
WR,Chris Conley (28792995),Chris Conley,28792995,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0
WR,Ronnie Bell (28792997),Ronnie Bell,28792997,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0.3
WR,Willie Snead IV (28792999),Willie Snead IV,28792999,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0
WR,Tay Martin (28793001),Tay Martin,28793001,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0
WR,Dazz Newsome (28793003),Dazz Newsome,28793003,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0
WR,Isaiah Winstead (28793005),Isaiah Winstead,28793005,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0
WR,Calvin Austin III (28793007),Calvin Austin III,28793007,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,PIT,2.7
WR,Gunner Olszewski (28793009),Gunner Olszewski,28793009,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,PIT,0.4
WR,Miles Boykin (28793011),Miles Boykin,28793011,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,PIT,0
WR,Cody White (28793013),Cody White,28793013,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,PIT,0
